sample_id,iou_score
r001s034_68,0.4688
r050s003_37,1.0000
r004s025_111,0.1594
r005s070_88,0.5397
r028s009_72,0.5217
r015s025_91,0.6441
r038s041_99,0.3492
r040s037_66,0.4991
r052s032_73,0.4536
r040s044_126,0.6907
r034s008_95,0.7071
r024s002_69,0.8667
r042s008_128,0.6592
r009s051_92,0.3187
r034s039_101,0.4955
r040s086_77,0.5868
r052s014_55,0.4654
r048s018_153,0.7917
r019s004_101,0.6375
r019s004_8,0.7500
r001s024_95,0.4839
r004s019_46,0.5394
r009s125_108,0.5556
r004s020_82,0.7620
r042s018_69,0.5204
r024s005_133,0.4682
r015s016_72,0.0087
r009s060_91,0.5833
r004s011_131,0.4843
r001s010_57,0.6008
r001s020_32,0.4432
r001s016_63,0.7286
r009s038_85,0.4353
r034s021_86,0.7500
r001s023_51,0.0000
r009s088_80,0.4863
r052s014_107,0.5000
r035s012_91,0.5947
r009s088_82,0.5074
r001s009_106,0.6734
r009s088_31,0.7073
r010s016_107,1.0000
r001s010_48,0.4428
r042s011_91,0.6145
r052s007_42,0.3929
r038s082_99,0.7033
r031s019_132,0.4338
r038s056_99,0.6547
r052s007_40,0.3771
r040s078_105,0.0000
r029s007_48,0.5799
r009s041_41,0.5922
r052s014_71,0.6410
r031s029_84,0.7750
r023s017_126,0.5506
r038s014_84,0.5605
r002s006_62,0.5294
r004s015_91,0.5233
r009s103_86,0.3208
r015s016_56,0.6375
r004s003_82,0.4444
r017s106_113,0.2629
r024s018_87,0.2520
r009s096_96,0.5185
r034s026_51,0.7500
r009s121_70,0.8036
r040s067_75,0.6587
r040s047_112,0.5072
r040s010_72,0.6396
r031s005_108,0.5965
r028s007_116,0.7500
r027s032_79,0.5510
r009s037_76,0.3503
r001s029_112,0.7386
r047s044_86,0.4436
r018s007_52,0.5842
r019s004_14,0.7571
r031s028_53,0.4817
r010s016_99,0.7250
r040s024_146,0.3158
r040s067_68,0.5692
r038s084_79,0.3987
r017s106_135,0.5377
r047s031_119,0.5151
r040s064_101,0.6275
r002s006_92,0.3652
r047s027_85,0.3906
r009s051_96,0.3784
r042s008_145,0.7673
r023s017_138,0.5773
r018s012_82,0.5161
r048s008_115,0.8889
r001s001_137,0.2480
r042s025_35,0.5250
r039s002_80,0.3148
r047s016_105,0.6296
r001s013_111,0.2129
r009s058_99,0.7831
r038s010_90,0.6790
r009s067_101,0.5271
r004s029_116,0.3951
r048s018_100,0.6113
r009s032_81,0.1870
r047s013_78,0.6667
r040s037_68,0.5746
r003s012_87,0.4421
r004s025_103,0.1043
r038s078_25,0.0938
r042s025_156,1.0000
r002s009_82,0.4823
r024s002_132,0.1680
r038s010_93,0.4805
r009s085_13,0.6757
r052s007_46,1.0000
r042s025_108,0.3990
r002s008_108,0.4411
r009s005_116,0.6250
r023s017_142,0.6111
r031s022_52,0.6756
r048s004_104,0.4572
r035s012_99,0.6914
r004s029_100,0.4250
r048s004_109,0.3710
r038s022_58,0.3333
r027s047_81,0.7363
r015s016_109,0.5700
r038s014_76,0.3963
r040s044_53,0.6098
r028s013_65,0.6958
r009s032_104,0.6304
r052s031_87,0.2411
r034s039_61,0.6981
r004s003_98,0.0021
